PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A81001,THE DENSHAM SURGERY,4175,31657,25116,23987,21435
A81002,QUEENS PARK MEDICAL CENTRE,19617,31767,25674,23966,21647
A81003,THE HEALTH CENTRE,3470,26509,21927,21749,18454
A81004,WOODLANDS ROAD SURGERY,9078,29806,24654,22919,19883
A81005,SPRINGWOOD SURGERY,7918,34928,27882,26235,24402
A81006,TENNANT STREET MEDICAL PRACTICE,12204,31273,25356,23657,21195
A81007,BANKHOUSE SURGERY,9520,28931,23630,23005,20019
A81008,ALBERT HOUSE CLINIC,4127,26284,22832,21328,18361
A81009,VILLAGE MEDICAL CENTRE,9249,30772,25523,23459,20315
A81011,CHADWICK PRACTICE,11212,28078,23138,22545,19500
A81012,WESTBOURNE MEDICAL CENTRE,4727,26410,22792,20861,17660
A81013,BROTTON SURGERY,6027,28148,23389,22350,20109
A81014,QUEENSTREE PRACTICE,3777,34100,27664,25572,23037
A81015,LAGAN SURGERY,3002,29891,24734,23885,21808
A81016,PARK SURGERY,9592,27842,23168,21717,18177
A81017,WOODBRIDGE PRACTICE,21234,38528,28987,26173,23995
A81018,BENTLEY MEDICAL PRACTICE,5416,28189,23609,22764,20537
A81019,CROSSFELL HEALTH CENTRE,10499,26032,22840,20510,17547
A81020,MARTONSIDE MEDICAL CENTRE,7923,32203,26877,24623,21951
A81021,NORMANBY MEDICAL CENTRE,13351,27651,23675,22180,19504
A81022,HILLSIDE PRACTICE,10754,28987,24350,22720,20637
A81023,THE ENDEAVOUR PRACTICE,7713,27095,22811,21270,17704
A81025,THE DOVECOT SURGERY,4207,30680,24698,23282,20581
A81026,THE LINTHORPE SURGERY,13622,30029,25064,23068,19921
A81027,YARM MEDICAL PRACTICE,12914,42476,33778,31149,29191
A81029,PROSPECT SURGERY,5762,26272,21944,20770,17012
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,11833,32387,26681,24848,22151
A81031,HAVELOCK GRANGE PRACTICE,12654,28151,23156,22605,19536
A81032,THE GARTH,10477,33437,26795,25457,23405
A81033,OAKFIELD MEDICAL PRACTICE,3469,26644,22745,21019,17839
A81034,THORNABY & BARWICK MEDICAL GROUP,21676,37370,28390,25725,23337
A81035,NEWLANDS MEDICAL CENTRE,10696,27847,23485,21706,18303
A81036,NORTON MEDICAL CENTRE,17283,32384,25888,24544,22236
A81037,THE ERIMUS PRACTICE,7176,27071,22756,21195,17544
A81038,HIRSEL MEDICAL CENTRE,3340,25926,22001,20484,16855
A81039,EAGLESCLIFFE MEDICAL PRACTICE,8955,40151,32142,29748,27878
A81040,MARSH HOUSE MEDICAL PRACTICE,8547,34085,27701,25462,22997
A81041,HART MEDICAL PRACTICE,9091,27308,23304,21973,19113
A81042,SOUTH GRANGE MEDICAL CENTRE,5997,25545,22175,20817,17971
A81043,THE MANOR HOUSE SURGERY,7965,27929,23777,22458,19869
A81044,MCKENZIE HOUSE SURGERY,14149,28952,23821,23034,20096
A81045,THE COATHAM ROAD SURGERY,7548,29344,24331,23574,21378
A81046,WOODLANDS FAMILY MEDICAL CENTRE,12898,31621,25373,23914,21402
A81047,MARSKE MEDICAL CENTRE,5710,32926,27574,25779,24591
A81048,ZETLAND MEDICAL PRACTICE,5053,32830,27192,25863,24549
A81049,KINGS MEDICAL CENTRE,5466,26219,22671,20815,17660
A81051,CAMBRIDGE MEDICAL GROUP,7445,32418,26740,24503,21649
A81052,THE GREEN HOUSE SURGERY,7328,28934,24128,23242,21104
A81053,WOODSIDE SURGERY,6602,26218,22545,21817,19111
A81054,THE SALTSCAR SURGERY,7942,28879,24041,23239,21018
A81056,MELROSE SURGERY,2583,33725,27442,25342,22794
A81057,KINGSWAY MEDICAL CENTRE,8708,33240,27109,25026,22382
A81058,COULBY MEDICAL PRACTICE,7505,32625,27134,25001,22177
A81060,THE KOH PRACTICE,5329,28696,23638,22839,19899
A81063,THE HEADLAND MEDICAL CENTRE,5317,25825,22280,21196,18209
A81064,THE DISCOVERY PRACTICE,6260,27958,23237,21764,18249
A81065,THE ESTON SURGERY,3360,24902,21632,20411,17598
A81066,PARK LANE SURGERY,4194,42946,32909,31049,28703
A81067,ALMA MEDICAL CENTRE,10554,28119,23067,21915,18524
A81069,RAINBOW SURGERY,1584,28474,23755,22999,20738
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1992,25018,21253,20984,17528
A81602,DR RASOOL,2520,34710,28051,25861,23475
A81605,PARK AVENUE SURGERY,2437,30851,25102,24705,22510
A81608,ELM TREE SURGERY,2618,29004,23695,22514,18827
A81609,A & B MEDICAL PRACTICE,1452,28115,23107,21841,18709
A81610,THE ROSEBERRY PRACTICE,8328,34168,27691,25594,23083
A81611,PARKWAY MEDICAL CENTRE,5056,33502,27697,25236,22504
A81612,THE PATEL PRACTICE,2960,31257,25825,23792,21858
A81613,JOURNEE MEDICAL PRACTICE,3369,27531,22703,22289,19140
A81618,HUNTCLIFF SURGERY,7582,31733,25121,25634,23733
A81621,THORNTREE SURGERY,2279,22557,20623,19022,15813
A81622,GLADSTONE HOUSE SURGERY,5162,27430,22450,22272,19044
A81623,NORTH SHORE MEDICAL PRACTICE,1633,29415,24065,22487,19604
A81629,RIVERSIDE MEDICAL PRACTICE,3889,30306,24476,23098,20264
A81630,FULCRUM MEDICAL PRACTICE,737,24772,21026,19907,15886
A81631,WEST VIEW MILLENIUM SURGERY A,6382,27528,23505,22090,19265
A81632,LAWSON STREET PRACTICE,693,27991,22949,21887,18512
A81633,HAVEN MEDICAL PRACTICE,670,22421,18223,18517,14000
A81634,THE ARRIVAL PRACTICE,1496,25501,20803,20523,16416
A82003,ULVERSTON HEALTH CENTRE (MURRAY),10628,36691,27597,26610,26436
A82004,ALSTON MEDICAL PRACTICE,2328,38092,28391,25382,24820
A82005,AMBLESIDE HEALTH CENTRE,5119,35577,28231,30400,26567
A82006,APPLEBY MEDICAL PRACTICE,4843,36504,28325,25391,24778
A82007,DUKE STREET SURGERY,9396,31512,24032,24150,22121
A82008,NORWOOD MEDICAL CENTRE,11041,32634,24591,24551,22542
A82009,BRIDGEGATE MEDICAL CENTRE,8776,32069,24423,24202,22253
A82010,ABBEY ROAD SURGERY,6505,34094,25426,25177,23415
A82011,HARTINGTON STREET MEDICAL PRACTICE,2589,30286,23210,23545,21179
A82012,BRAMPTON MEDICAL PRACTICE,15206,38683,29211,27803,26748
A82013,UPPER EDEN MEDICAL PRACTICE,6689,36876,27182,25012,24014
A82014,CALDBECK SURGERY,4302,41132,30026,27279,26033
A82015,WARWICK ROAD SURGERY,5897,32327,24673,24187,21823
A82016,ST PAUL'S MEDICAL PRACTICE,14364,34425,25932,24967,22990
A82017,BRUNSWICK HOUSE MEDICAL GROUP,14622,32374,24671,24014,21678
A82018,SPENCER ST SURGERY,11741,33881,25592,24844,22738
A82019,FUSEHILL MEDICAL PRACTICE,8333,34051,25644,25072,22718
A82020,EDEN MEDICAL GROUP,14675,33389,25339,24473,22533
A82021,CASTLEGATE SURGERY,10467,39915,30234,28292,27143
A82022,DALSTON MEDICAL GROUP,5033,39752,29218,27041,25624
A82023,DISTINGTON SURGERY,3808,34832,26367,24912,23527
A82024,SEASCALE HEALTH CENTRE,5627,39152,29904,27567,27694
A82025,CAPTAIN FRENCH SURGERY,9320,38050,28153,27046,24780
A82026,THE JAMES COCHRANE PRACT.,16176,39136,28692,27225,25145
A82027,STATION HOUSE SURGERY,10968,38728,28487,27229,25112
A82028,CASTLEHEAD MEDICAL CENTRE,6475,36369,28026,28016,25663
A82029,THE CROFT SURGERY,3369,38586,28656,25843,24765
A82030,LUNESDALE SURGERY,5977,38494,30643,28310,26681
A82031,SHAP MEDICAL PRACTICE,2843,36940,28391,25607,24948
A82032,MARYPORT HEALTH SERVICES,13662,30042,24386,22789,20565
A82033,WATERLOO HOUSE SURGERY,8408,31729,26004,24444,23405
A82034,STONELEIGH SURGERY,6610,39050,28584,26850,24935
A82035,BIRBECK MEDICAL GROUP,15867,36702,27166,25806,24443
A82036,THE LAKES MEDICAL PRACTICE,9094,36636,27120,25797,24420
A82037,SILLOTH GROUP MEDICAL PRACTICE,4230,31849,24968,23204,22158
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,4475,36826,28282,25515,24825
A82039,DALTON SURGERY,7598,35786,26831,25612,24999
A82040,CATHERINE STREET SURGERY,2684,34458,26411,25122,23607
A82041,LOWTHER MEDICAL CENTRE,10659,34606,26488,25139,23636
A82044,FELLVIEW HEALTHCARE LTD,22152,35778,26962,25640,24171
A82045,WIGTON GROUP MEDICAL PRACTICE,8174,33725,25893,23956,22828
A82046,WINDERMERE HEALTH CENTRE,5728,34899,28219,28994,25845
A82047,JAMES STREET GROUP PRACT,8987,31146,23729,23344,21286
A82048,BEECHWOOD GROUP PRACTICE,6655,31365,23958,23434,21365
A82049,ORCHARD HOUSE SURGERY,5319,31302,23903,23384,21272
A82050,OXFORD STREET SURGERY,7091,32525,24608,23884,22097
A82052,NORTH CARLISLE MEDICAL PRACTICE,7420,41288,29533,28306,26838
A82053,NUTWOOD MEDICAL PRACTICE,4675,33767,26344,26751,25831
A82055,ASPATRIA MEDICAL GROUP,7001,34217,26884,24406,23306
A82057,DERWENT HOUSE SURGERY,6633,39944,30318,28279,27179
A82058,QUEEN STREET MEDICAL PRACTICE,4082,35486,26988,25599,24292
A82060,WHITEHAVEN MEDICAL CENTRE,1803,34703,26569,25241,23778
A82062,ATKINSON HEALTH CENTRE (WIEJAK),4819,30950,23659,23856,21675
A82063,BANK STREET SURGERY,1747,36323,28002,28045,25661
A82064,WESTCROFT HOUSE SURGERY,4624,36441,27516,26090,24916
A82065,PENINSULA MEDICAL PRACTICE,2959,33181,25768,26413,25436
A82068,ULVERSTON HEALTH CENTRE (HAMBLY),3944,36593,27523,26567,26350
A82070,ST.MARY'S SURGERY,5982,35135,28170,28951,25801
A82071,BURNETT EDGAR MEDICAL CTR,4350,30312,23846,24250,22211
A82072,RISEDALE SURGERY,4546,32506,24698,24402,22544
A82074,ARNSIDE SURGERY,2394,35198,27708,26277,24704
A82075,MANSION HOUSE SURGERY,6463,34716,26534,25203,23724
A82077,LIVERPOOL HOUSE SURGERY,5327,32826,24954,24549,22729
A82608,SEDBERGH HEALTH CENTRE (LUMB),4116,34843,29654,26990,24998
A82613,WRAYSDALE HOUSE SURGERY,955,40256,30053,28178,28000
A82617,KIRKOSWALD SURGERY,2301,40301,29822,26729,26203
A82619,NELSON STREET SURGERY,1639,35637,26719,25589,24874
A82620,GLENRIDDING HEALTH CENTRE,732,40391,30041,27505,26938
A82621,ASKAM SURGERY,1598,37500,27175,25414,24735
A82623,SOLWAY HEALTH SERVICES,5453,31600,24052,23509,21529
A82629,THE FAMILY PRACTICE,3788,30707,23472,23712,21436
A82631,COURT THORN SURGERY,2951,41961,30962,28211,27514
A82635,GROSVENOR HOUSE SURGERY (W),1980,33500,25407,24774,22556
A82641,GROSVENOR HOUSE SURGERY (F),1972,34319,25987,25102,23094
A82642,HAWKSHEAD MEDICAL PRACTICE,1195,38448,30327,28954,28251
A82646,LONGTOWN MEDICAL CENTRE,3535,35173,27199,25139,24101
A82647,CARTMEL SURGERY,2376,33783,26319,26723,25794
A82650,HAVERTHWAITE SURGERY,2746,38767,29784,28194,27901
A82651,DUDDON VALLEY MEDICAL PRACTICE,3353,39095,29208,27265,27097
A82654,GROSVENOR HOUSE SURGERY (A),3992,33320,25347,24597,22526
A83001,ST ANDREW'S MEDICAL PRACTICE,10332,29661,24627,23614,21644
A83003,WILLINGTON MEDICAL GROUP,9152,27158,21737,21186,19681
A83004,DR. K R KAPOOR & PARTNER,3682,30748,23854,23629,21195
A83005,WHINFIELD MEDICAL PRACTICE,11446,31488,25482,23985,22056
A83006,ORCHARD COURT SURGERY,7727,31258,24611,24225,21595
A83007,DR. P. BURRELL & PARTNERS,9386,27515,22046,22144,20357
A83008,HALLGARTH SURGERY,5530,24501,19175,20084,17995
A83009,BRIDGE END SURGERY,8798,34883,26670,26033,24486
A83010,MOORLANDS SURGERY,14556,33752,26938,25527,23202
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,27599,36935,28681,29961,26991
A83012,WILLIAM BROWN CENTRE,15116,29031,23307,22839,20605
A83013,NEASHAM ROAD SURGERY,11116,28372,22997,22218,19598
A83014,BELMONT & SHERBURN MEDICAL GROUP,7907,34639,26255,25513,24218
A83015,STATION VIEW MEDICAL CENTRE,10386,28599,22712,22521,20383
A83016,TANFIELD VIEW MEDICAL GROUP,11584,29143,23147,22437,20356
A83017,DR NAING & PARTNERS,7483,28176,22504,22308,20271
A83018,CONSETT MEDICAL CENTRE,19397,32022,24754,23971,22021
A83019,STATION ROAD SURGERY,5122,28457,23075,22183,19984
A83020,NORTH HOUSE SURGERY,13499,28186,23183,21877,20338
A83021,AUCKLAND MEDICAL GROUP,13574,28435,22608,22350,20664
A83022,THE MEDICAL GROUP,23804,32359,24831,24644,22493
A83023,STANLEY MEDICAL GROUP,10844,28609,22806,22119,20029
A83024,WEST RAINTON SURGERY,5811,31656,24502,23832,22427
A83025,BISHOPGATE MEDICAL CENTRE,13708,27797,22075,22066,19794
A83026,SACRISTON MEDICAL CENTRE,9734,33328,25846,25098,23056
A83027,COXHOE MEDICAL PRACTICE,6228,33164,25204,24860,22869
A83028,GROUP PRACTICE SURGERY,10082,35963,28156,26825,24979
A83029,THE SURGERY GREAT LUMLEY,4820,35166,27606,26159,24641
A83030,DUNELM MEDICAL PRACTICE,12069,34772,26536,26313,23470
A83031,CARMEL MEDICAL PRACTICE,10051,36738,29175,27266,25026
A83032,COCKFIELD SURGERY,2451,29278,23950,23426,22765
A83033,DR TYSON AND PARTNERS,8727,31388,24198,23695,21945
A83034,BLACKETTS MEDICAL PRACTICE,10069,33878,26342,25855,23129
A83035,THE WEARDALE PRACTICE,7119,33604,26417,24875,23339
A83036,CHASTLETON MEDICAL GROUP,11650,40520,30849,29819,27709
A83037,BEWICK CRESCENT SURGERY,13831,32604,26322,24467,22751
A83038,CEDARS MEDICAL GROUP,5829,33930,26135,25223,23443
A83040,CLIFTON COURT MEDICAL PRACTICE,11868,29376,23614,22999,20303
A83041,DR D S RANGAR & PARTNERS,7674,29985,23462,23469,20402
A83042,DR SIMPSON & PARTNERS,4979,30921,24067,23980,21592
A83043,OLD FORGE SURGERY,2695,36096,28892,26441,24884
A83044,THE HORDEN GROUP PRACTICE,6966,27477,22446,22058,19840
A83045,DR.OAKENFULL & PARTNERS,15023,25710,20457,20999,19182
A83046,BARNARD CASTLE SURGERY,10381,32640,26299,25886,24119
A83047,DENMARK STREET SURGERY,14015,30947,24744,23758,21412
A83048,ROCKLIFFE COURT SURGERY,5518,38362,30070,28573,27014
A83049,QUEENS ROAD SURGERY,12732,33697,25727,25173,23061
A83050,CESTRIA HEALTH CENTRE,11718,35627,27115,26223,24813
A83051,MARLBOROUGH SURGERY,10208,31120,23932,23774,21435
A83052,DR.WOOD & PARTNERS,8902,29827,24774,23736,21762
A83054,DR.JONES & PARTNERS,15506,34994,26933,25956,24462
A83055,CHEVELEY PARK MEDICAL CTR,3868,37037,28363,27201,26123
A83057,SHINWELL MEDICAL GROUP,5553,26509,21421,21485,19368
A83060,PINFOLD MEDICAL PRACTICE,3047,29427,24031,23500,22794
A83061,GAINFORD SURGERY,3300,32857,26527,25258,24504
A83066,JUBILEE MEDICAL GROUP,8654,30945,24601,23635,21635
A83068,JUPITER HOUSE,1650,26422,21406,21423,19323
A83070,FELIX HOUSE SURGERY,5586,39366,30263,28933,27803
A83071,THE NEW SEAHAM MEDICAL GROUP,5120,31343,24090,23892,21589
A83072,LANCHESTER MEDICAL CENTRE,3879,35630,27497,26481,25714
A83073,DRS LAMBERT & NG,4971,28291,22579,22128,19935
A83074,PEASEWAY MEDICAL CENTRE,11322,30670,25171,23492,21458
A83075,DR KV REDDY,4697,31088,24028,23800,21409
A83076,DIPTON SURGERY,2688,30298,23834,23294,21198
A83603,DR.ROY,2766,29595,24599,23531,21569
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,2771,31343,23941,24155,21758
A83616,DR MUDALAGIRI,2304,28273,22683,22092,19957
A83617,BROWNEY HOUSE SURGERY,2719,33394,25562,24765,22888
A83618,OAKFIELDS HEALTH CENTRE,4037,34699,26554,26286,24360
A83619,DR. S H S MANSOUR,2761,28205,22931,22071,19845
A83622,THE HAVEN SURGERY,1693,35571,27511,26536,25841
A83626,EVENWOOD MEDICAL PRACTICE,1993,29065,23719,23215,22540
A83627,SILVERDALE FAMILY PRACTICE,4573,29274,23437,23193,20446
