PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
A81001,THE DENSHAM SURGERY,4175,13864,13085,10886,16234,7906,14242,21714,23932
A81002,QUEENS PARK MEDICAL CENTRE,19617,12571,12015,9793,14002,6946,14749,22112,27780
A81003,THE HEALTH CENTRE,3470,6417,5790,4800,9098,4779,6540,24175,25516
A81004,WOODLANDS ROAD SURGERY,9078,11599,11090,9926,12879,6524,10633,25324,21305
A81005,SPRINGWOOD SURGERY,7918,21247,19964,18208,21877,14588,21391,20450,28424
A81006,TENNANT STREET MEDICAL PRACTICE,12204,11449,10990,8945,12783,6215,14297,22066,27646
A81007,BANKHOUSE SURGERY,9520,10722,9889,8507,13580,7143,9604,24053,26470
A81008,ALBERT HOUSE CLINIC,4127,4539,4828,3371,4592,2918,6492,22694,29083
A81009,VILLAGE MEDICAL CENTRE,9249,10279,9800,8792,12544,5994,9309,25036,21318
A81011,CHADWICK PRACTICE,11212,9461,8602,7313,12067,6399,9032,23970,26759
A81012,WESTBOURNE MEDICAL CENTRE,4727,5716,5632,4926,6684,3428,6142,23926,22755
A81013,BROTTON SURGERY,6027,10936,10366,6687,11691,6062,18525,27640,26116
A81014,QUEENSTREE PRACTICE,3777,15501,14944,11805,15329,8835,20635,23611,28931
A81015,LAGAN SURGERY,3002,13801,13710,10295,16524,8122,13815,23521,25488
A81016,PARK SURGERY,9592,7153,6912,6673,8689,4277,6724,24982,18568
A81017,WOODBRIDGE PRACTICE,21234,18497,17930,16704,18346,11310,20860,19349,30744
A81018,BENTLEY MEDICAL PRACTICE,5416,10157,9850,7448,12529,5968,11724,21369,26387
A81019,CROSSFELL HEALTH CENTRE,10499,5415,5556,4429,5857,3297,6381,23515,25477
A81020,MARTONSIDE MEDICAL CENTRE,7923,12639,12693,10770,14524,7249,12498,22299,25428
A81021,NORMANBY MEDICAL CENTRE,13351,10276,11310,7860,9926,5791,10302,22732,29412
A81022,HILLSIDE PRACTICE,10754,10846,9783,7118,12078,7386,16873,22237,25255
A81023,THE ENDEAVOUR PRACTICE,7713,6406,6226,5970,7715,3796,6499,24017,19983
A81025,THE DOVECOT SURGERY,4207,11584,10887,9164,13178,6547,13355,22297,25184
A81026,THE LINTHORPE SURGERY,13622,9528,9088,8094,11549,5524,8949,24820,21640
A81027,YARM MEDICAL PRACTICE,12914,27112,25560,24576,26916,20665,25074,20339,30169
A81029,PROSPECT SURGERY,5762,5836,5646,5667,6854,3507,5894,24687,18083
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,11833,15540,15410,13033,16978,8474,15367,22475,25148
A81031,HAVELOCK GRANGE PRACTICE,12654,9517,8766,7494,12159,6537,8857,23854,26860
