PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A81001,THE DENSHAM SURGERY,4175,35726,28724,26949,24341
A81002,QUEENS PARK MEDICAL CENTRE,19617,35218,28625,26664,24262
A81003,THE HEALTH CENTRE,3470,30061,25775,24669,20891
A81004,WOODLANDS ROAD SURGERY,9078,32855,28538,25983,22929
A81005,SPRINGWOOD SURGERY,7918,40653,32931,30481,30540
A81006,TENNANT STREET MEDICAL PRACTICE,12204,34691,28464,26457,23792
A81007,BANKHOUSE SURGERY,9520,32145,27071,25762,22557
A81008,ALBERT HOUSE CLINIC,4127,29531,26251,25012,20794
A81009,VILLAGE MEDICAL CENTRE,9249,33922,28902,26294,22881
A81011,CHADWICK PRACTICE,11212,31373,26526,25371,21991
A81012,WESTBOURNE MEDICAL CENTRE,4727,29165,26141,24514,19962
A81013,BROTTON SURGERY,6027,33319,29391,26617,23414
A81014,QUEENSTREE PRACTICE,3777,36541,29765,28032,26107
A81015,LAGAN SURGERY,3002,33364,27050,27073,24668
A81016,PARK SURGERY,9592,30846,27266,24853,20804
A81017,WOODBRIDGE PRACTICE,21234,43714,35282,29967,26577
A81018,BENTLEY MEDICAL PRACTICE,5416,31562,25820,26412,23539
A81019,CROSSFELL HEALTH CENTRE,10499,28605,25662,24443,19742
A81020,MARTONSIDE MEDICAL CENTRE,7923,35356,29955,27407,24573
A81021,NORMANBY MEDICAL CENTRE,13351,30845,27111,26277,22469
A81022,HILLSIDE PRACTICE,10754,33889,29016,26906,24001
A81023,THE ENDEAVOUR PRACTICE,7713,29977,26716,24568,20352
A81025,THE DOVECOT SURGERY,4207,34516,28351,26395,23258
A81026,THE LINTHORPE SURGERY,13622,33060,28452,26012,22513
A81027,YARM MEDICAL PRACTICE,12914,45969,36130,33862,32100
A81029,PROSPECT SURGERY,5762,29196,26318,24072,19737
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,11833,35472,30026,27798,25127
A81031,HAVELOCK GRANGE PRACTICE,12654,31491,26657,25438,22091
A81032,THE GARTH,10477,38984,31528,29716,29086
A81033,OAKFIELD MEDICAL PRACTICE,3469,29662,26437,24700,20133
A81034,THORNABY & BARWICK MEDICAL GROUP,21676,42183,34194,29475,26047
A81035,NEWLANDS MEDICAL CENTRE,10696,30702,27109,24950,20986
A81036,NORTON MEDICAL CENTRE,17283,35671,29309,27089,24825
A81037,THE ERIMUS PRACTICE,7176,29995,26689,24402,20224
A81038,HIRSEL MEDICAL CENTRE,3340,28724,25827,24008,19511
A81039,EAGLESCLIFFE MEDICAL PRACTICE,8955,43974,34084,31708,30295
A81040,MARSH HOUSE MEDICAL PRACTICE,8547,36251,29590,27965,26051
A81041,HART MEDICAL PRACTICE,9091,31826,27115,25614,21814
A81042,SOUTH GRANGE MEDICAL CENTRE,5997,29107,26386,25074,20699
A81043,THE MANOR HOUSE SURGERY,7965,31047,27245,26759,23128
A81044,MCKENZIE HOUSE SURGERY,14149,32100,26900,25755,22493
A81045,THE COATHAM ROAD SURGERY,7548,32773,26630,26801,24276
A81046,WOODLANDS FAMILY MEDICAL CENTRE,12898,35390,28692,26779,24106
A81047,MARSKE MEDICAL CENTRE,5710,36542,28752,28498,27635
A81048,ZETLAND MEDICAL PRACTICE,5053,36345,28708,28536,27585
A81049,KINGS MEDICAL CENTRE,5466,29078,26014,24533,19887
A81051,CAMBRIDGE MEDICAL GROUP,7445,35543,29758,27252,24444
A81052,THE GREEN HOUSE SURGERY,7328,32355,26342,26712,24055
A81053,WOODSIDE SURGERY,6602,29108,25613,24896,20723
A81054,THE SALTSCAR SURGERY,7942,32271,26311,26647,23959
A81056,MELROSE SURGERY,2583,36125,29478,27838,25899
A81057,KINGSWAY MEDICAL CENTRE,8708,35592,29211,27521,25566
