PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A81001,THE DENSHAM SURGERY,4175,34111,26983,25879,23272
A81002,QUEENS PARK MEDICAL CENTRE,19617,34142,26992,26061,22935
A81003,THE HEALTH CENTRE,3470,30532,25205,24419,20727
A81004,WOODLANDS ROAD SURGERY,9078,32137,26565,24606,22234
A81005,SPRINGWOOD SURGERY,7918,41240,30527,30244,27688
A81006,TENNANT STREET MEDICAL PRACTICE,12204,33745,27021,25843,22567
A81007,BANKHOUSE SURGERY,9520,33055,26260,25574,22512
A81008,ALBERT HOUSE CLINIC,4127,30910,26516,24230,20740
A81009,VILLAGE MEDICAL CENTRE,9249,33135,27420,25103,22264
A81011,CHADWICK PRACTICE,11212,32246,25877,25144,21923
A81012,WESTBOURNE MEDICAL CENTRE,4727,29771,26442,23308,19712
A81013,BROTTON SURGERY,6027,35694,27063,26513,22986
A81014,QUEENSTREE PRACTICE,3777,35683,28636,26852,24822
A81015,LAGAN SURGERY,3002,34652,27606,27207,24481
A81016,PARK SURGERY,9592,30040,25634,23333,20187
A81017,WOODBRIDGE PRACTICE,21234,44943,35151,29663,27155
A81018,BENTLEY MEDICAL PRACTICE,5416,33257,27439,26333,23255
A81019,CROSSFELL HEALTH CENTRE,10499,30003,26862,23599,19726
A81020,MARTONSIDE MEDICAL CENTRE,7923,35462,29227,26565,23865
A81021,NORMANBY MEDICAL CENTRE,13351,32421,27293,25329,22254
A81022,HILLSIDE PRACTICE,10754,36526,28210,25966,23035
A81023,THE ENDEAVOUR PRACTICE,7713,29549,25654,23072,19797
A81025,THE DOVECOT SURGERY,4207,33420,27038,25537,22385
A81026,THE LINTHORPE SURGERY,13622,32468,27162,24809,21914
A81027,YARM MEDICAL PRACTICE,12914,46821,34512,33088,31739
A81029,PROSPECT SURGERY,5762,28384,24739,22426,19102
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,11833,36382,28977,26880,24575
A81031,HAVELOCK GRANGE PRACTICE,12654,32353,25950,25244,21994
A81032,THE GARTH,10477,39555,29876,29398,26535
A81033,OAKFIELD MEDICAL PRACTICE,3469,30136,26653,23455,19954
A81034,THORNABY & BARWICK MEDICAL GROUP,21676,43215,33992,29099,26487
A81035,NEWLANDS MEDICAL CENTRE,10696,30504,26280,23633,20510
A81036,NORTON MEDICAL CENTRE,17283,34570,27183,26746,23735
A81037,THE ERIMUS PRACTICE,7176,29118,25368,22890,19593
A81038,HIRSEL MEDICAL CENTRE,3340,28642,25333,22489,19167
A81039,EAGLESCLIFFE MEDICAL PRACTICE,8955,44197,31794,31236,29982
A81040,MARSH HOUSE MEDICAL PRACTICE,8547,35356,28320,26750,24465
A81041,HART MEDICAL PRACTICE,9091,32928,26796,24776,22379
A81042,SOUTH GRANGE MEDICAL CENTRE,5997,30877,26806,24213,20663
A81043,THE MANOR HOUSE SURGERY,7965,32746,27381,25708,22868
A81044,MCKENZIE HOUSE SURGERY,14149,33298,26312,25599,22574
A81045,THE COATHAM ROAD SURGERY,7548,34078,27367,26997,24038
A81046,WOODLANDS FAMILY MEDICAL CENTRE,12898,34178,27127,26000,22978
A81047,MARSKE MEDICAL CENTRE,5710,38135,28625,28777,27526
A81048,ZETLAND MEDICAL PRACTICE,5053,37758,28347,28709,27375
A81049,KINGS MEDICAL CENTRE,5466,29790,26538,23345,19724
A81051,CAMBRIDGE MEDICAL GROUP,7445,34803,28016,26037,23665
A81052,THE GREEN HOUSE SURGERY,7328,33909,27554,26704,23819
A81053,WOODSIDE SURGERY,6602,30964,26302,25182,20432
A81054,THE SALTSCAR SURGERY,7942,33704,27398,26759,23694
A81056,MELROSE SURGERY,2583,35173,28280,26632,24462
A81057,KINGSWAY MEDICAL CENTRE,8708,34391,27948,26283,23948
A81058,COULBY MEDICAL PRACTICE,7505,37253,30919,27137,24499
A81060,THE KOH PRACTICE,5329,33133,26359,25498,22528
A81063,THE HEADLAND MEDICAL CENTRE,5317,30976,25505,23690,21191
A81064,THE DISCOVERY PRACTICE,6260,30351,25819,23442,20425
A81065,THE ESTON SURGERY,3360,30615,26888,24106,20482
A81066,PARK LANE SURGERY,4194,45748,33215,31958,31246
A81067,ALMA MEDICAL CENTRE,10554,31324,25982,24419,20497
A81069,RAINBOW SURGERY,1584,33463,27344,26528,23398
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1992,29813,24650,24195,20193
A81602,DR RASOOL,2520,36327,28790,27209,25098
A81605,PARK AVENUE SURGERY,2437,35337,27168,27731,25036
A81608,ELM TREE SURGERY,2618,32594,26646,25021,21566
A81609,A & B MEDICAL PRACTICE,1452,31231,26118,24492,20347
A81610,THE ROSEBERRY PRACTICE,8328,35783,28612,26923,24816
A81611,PARKWAY MEDICAL CENTRE,5056,38361,32025,27555,25074
A81612,THE PATEL PRACTICE,2960,37137,27134,26971,25335
A81613,JOURNEE MEDICAL PRACTICE,3369,31741,25742,24954,21586
A81618,HUNTCLIFF SURGERY,7582,35701,27319,28036,26142
A81621,THORNTREE SURGERY,2279,26722,25137,21446,17681
A81622,GLADSTONE HOUSE SURGERY,5162,31375,25649,24889,21388
A81623,NORTH SHORE MEDICAL PRACTICE,1633,32377,26625,25043,21156
A81629,RIVERSIDE MEDICAL PRACTICE,3889,33079,26836,25346,21905
A81630,FULCRUM MEDICAL PRACTICE,737,26751,24299,21585,17854
A81631,WEST VIEW MILLENIUM SURGERY A,6382,33322,27056,24929,22621
A81632,LAWSON STREET PRACTICE,693,31054,26139,24373,20411
A81633,HAVEN MEDICAL PRACTICE,670,23838,21671,19633,15888
A81634,THE ARRIVAL PRACTICE,1496,28888,25010,23086,18855
A82003,ULVERSTON HEALTH CENTRE (MURRAY),10628,39560,30123,29744,27900
A82004,ALSTON MEDICAL PRACTICE,2328,40533,30596,29070,26904
A82005,AMBLESIDE HEALTH CENTRE,5119,36232,29638,29874,27239
A82006,APPLEBY MEDICAL PRACTICE,4843,38308,29638,28927,27271
A82007,DUKE STREET SURGERY,9396,34387,26182,26387,24367
A82008,NORWOOD MEDICAL CENTRE,11041,35176,26916,26810,24919
A82009,BRIDGEGATE MEDICAL CENTRE,8776,34630,26413,26386,24428
A82010,ABBEY ROAD SURGERY,6505,36666,28013,27569,25872
A82011,HARTINGTON STREET MEDICAL PRACTICE,2589,33039,25274,25663,23535
A82012,BRAMPTON MEDICAL PRACTICE,15206,40870,31871,29854,27987
A82013,UPPER EDEN MEDICAL PRACTICE,6689,37854,29337,28191,26316
A82014,CALDBECK SURGERY,4302,40465,32099,29625,27722
A82015,WARWICK ROAD SURGERY,5897,34065,26504,26296,23857
A82016,ST PAUL'S MEDICAL PRACTICE,14364,36165,27936,27148,24947
A82017,BRUNSWICK HOUSE MEDICAL GROUP,14622,34116,26457,26217,23723
A82018,SPENCER ST SURGERY,11741,35486,27525,26944,24720
A82019,FUSEHILL MEDICAL PRACTICE,8333,35381,27439,26930,24603
A82020,EDEN MEDICAL GROUP,14675,35356,27350,26758,24589
A82021,CASTLEGATE SURGERY,10467,41933,32804,30831,28719
A82022,DALSTON MEDICAL GROUP,5033,41501,31622,29536,27749
A82023,DISTINGTON SURGERY,3808,40496,30456,28567,25944
A82024,SEASCALE HEALTH CENTRE,5627,44025,34939,31885,30310
A82025,CAPTAIN FRENCH SURGERY,9320,39100,30060,28628,26557
A82026,THE JAMES COCHRANE PRACT.,16176,40231,30782,29125,27418
A82027,STATION HOUSE SURGERY,10968,39649,30433,28888,27056
A82028,CASTLEHEAD MEDICAL CENTRE,6475,37522,30558,29809,27497
A82029,THE CROFT SURGERY,3369,39795,30991,28624,27308
A82030,LUNESDALE SURGERY,5977,42242,32631,31299,29597
A82031,SHAP MEDICAL PRACTICE,2843,38481,29854,29123,27418
A82032,MARYPORT HEALTH SERVICES,13662,32301,26420,24975,22492
A82033,WATERLOO HOUSE SURGERY,8408,35306,28704,27305,24905
A82034,STONELEIGH SURGERY,6610,41643,32079,30784,29514
A82035,BIRBECK MEDICAL GROUP,15867,37916,29832,28707,26749
A82036,THE LAKES MEDICAL PRACTICE,9094,37818,29778,28693,26757
A82037,SILLOTH GROUP MEDICAL PRACTICE,4230,34279,27078,26309,24750
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,4475,38846,29958,29027,27259
A82039,DALTON SURGERY,7598,38352,29129,28521,27287
A82040,CATHERINE STREET SURGERY,2684,39870,30695,28688,26928
A82041,LOWTHER MEDICAL CENTRE,10659,39987,30766,28641,26897
A82044,FELLVIEW HEALTHCARE LTD,22152,40272,31471,29032,27288
